rank,product,brand,rating,feature,rec_type,category,review
1,토니모리 원더 세라마이드 모찌 토너 500ml ,토니모리,4.7, 촉촉함(수분공급),피부진정,스킨/토너,"8,163"
2,라네즈 크림 스킨 150ml ,아모레퍼시픽,4.7, 촉촉함(수분공급),피부탄력,스킨/토너,"7,320"
3,라운드랩 1025 독도 토너 500ml ,라운드랩,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"14,095"
4,구달 청귤 비타C 토너 패드 70매 ,코스맥스,4.6, 촉촉함(수분공급),"피부결정돈, 유수분밸런스조절",스킨/토너,"2,356"
5,더랩바이블랑두 올리고 히알루론산 5000 토너 200ml ,더랩바이블랑두,4.6, 촉촉함(수분공급),피부탄력,스킨/토너,"26,996"
6,라운드랩 1025 독도 토너 200ml ,나투젠,4.7, ,모든피부용,스킨/토너,"18,912"
7,설화수 자음 수 125ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,"7,577"
8,썸바이미 아하 바하 파하 30 데이즈 미라클 토너 150ml ,썸바이미,4.6," 촉촉함(수분공급), 트러블케어","피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"13,191"
9,닥터지 레드 블레미쉬 수딩 토너 400ml ,코스맥스,4.6, 촉촉함(수분공급),피부진정,스킨/토너,635
10,닥터지 레드 블레미쉬 클리어 수딩 토너 300ml ,한국콜마,4.7," 촉촉함(수분공급), 저자극","각질케어, 피지케어, 피부진정",스킨/토너,702
11,아크네스 세범 밸런싱 스킨 180ml ,아크네스,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"2,197"
12,마몽드 로즈 워터 토너 500ml ,아모레퍼시픽,4.7, ,모든피부용,스킨/토너,"4,112"
13,이니스프리 슈퍼푸드 블루베리 리밸런싱 스킨 350ml ,이니스프리,4.7, 유수분밸런스조절,유수분밸런스조절,스킨/토너,"1,660"
14,"아이소이 아크니 닥터 퍼스트 컨트롤 토닉 130ml(지성, 민감성) ",다비드화장품,4.7, 모공케어,모공케어,스킨/토너,"4,463"
15,코스알엑스 풀핏 프로폴리스 시너지 토너 280ml ,코스알엑스,4.7," 촉촉함(수분공급), 저자극","피부탄력, 피부진정",스킨/토너,782
16,더랩바이블랑두 올리고 히알루론산 5000 토너 500ml ,더랩바이블랑두,4.7," 촉촉함(수분공급), 저자극","흡수력, 피부진정",스킨/토너,"2,357"
17,라로슈포제 똘러리앙 더모 수딩 토너 200ml ,라로슈포제,4.8, 촉촉함(수분공급),피부진정,스킨/토너,"4,294"
18,키엘 울트라 페이셜 토너 250ml ,키엘,4.8, ,모든피부용,스킨/토너,"15,279"
19,프리메라 오가니언스 워터 180ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,"4,747"
20,이즈앤트리 히아루론산 토너 200ml ,이즈앤트리,4.7, ,모든피부용,스킨/토너,"11,158"
21,세이어스 언센티드 위치하젤 토너 355ml ,헨리세이어&컴퍼니,4.7, ,모든피부용,스킨/토너,"5,724"
22,해서린 모닝 부스트 앰플 토너 (아침토너) 300ml ,해서린,4.5, 촉촉함(수분공급),피부결정돈,스킨/토너,"1,420"
23,싸이닉 더 심플 카밍 토너 300ml ,코스메카,4.7, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"2,597"
24,마녀공장 갈락토미 클리어스킨 토너 150ml ,아이큐어,4.7, 촉촉함(수분공급),각질케어,스킨/토너,"19,538"
25,더샘 더마 플랜 필링 토너 패드 70매 ,더샘,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,599
26,리리코스 카밍 퓨어 워터 320ml ,리리코스,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"3,821"
27,에뛰드하우스 순정 약산성 5.5 진정 토너 180ml ,에뛰드,4.7, 트러블케어,트러블케어,스킨/토너,"2,332"
28,토소웅 시카 버블토너 1000ml ,토소웅,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"5,633"
29,파파레서피 가지 클리어링 필링 패드 토너 60매 ,파파레서피,4.7, ,페이스용,스킨/토너,514
30,에뛰드하우스 순정 약산성 5.5 진정 대용량 350ml ,코스비전,4.8, 피부진정,피부진정,스킨/토너,472
31,이니스프리 비자 트러블 스킨 200ml（신형） ,코스비전,4.7, 트러블케어,각질케어,스킨/토너,791
32,이즈앤트리 히아루론산 토너 400ml ,에스겔화장품,4.8, 촉촉함(수분공급),피부결정돈,스킨/토너,"1,999"
33,마몽드 캐모마일 퓨어 토너 250ml ,마몽드,4.7, 피부진정,피부진정,스킨/토너,"1,648"
34,벤튼 파하 필링 토너 150ml ,결고은사람들,4.6," 촉촉함(수분공급), 저자극","각질케어, 흡수력, 피부탄력, 피부결정돈",스킨/토너,163
35,하루하루 원더 블랙라이스 히알루로닉 토너 150ml ,지디케이화장품,4.9, 촉촉함(수분공급),"피부탄력, 피부결정돈",스킨/토너,866
36,한율 어린쑥 수분진정 토너 150ml ,아모레퍼시픽,4.7, ,모든피부용,스킨/토너,"9,347"
37,닥터자르트 세라마이딘 리퀴드 150ml ,해브앤비,4.8, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,685
38,하다라보 고쿠쥰 로션 170ml ,멘소래담,4.7, ,모든피부용,스킨/토너,"7,115"
39,라로슈포제 에빠끌라 클래리파잉 모이스처라이징 로션 200ml(지성) ,라로슈포제,4.8, 트러블케어,트러블케어,스킨/토너,"4,834"
40,유안재 어성초 수딩 스킨 토너 500ml ,유안재,4.6, 촉촉함(수분공급),"피부탄력, 피부진정",스킨/토너,"2,766"
41,유리스킨 에그플랜트 마스터 올인원 토너 180ml ,유리스킨,4.7, 촉촉함(수분공급),피부진정,스킨/토너,"1,068"
42,이니스프리 슈퍼푸드 블루베리 리밸런싱 스킨 150ml ,이니스프리,4.6, ,모든피부용,스킨/토너,"2,782"
43,셀퓨전씨 케이 솔루션 토너 1000ml ,셀퓨전씨,4.8, 민감성,민감성,스킨/토너,"1,562"
44,크리니크 클래리파잉 로션 2 400ml(중복합) ,크리니크,4.8," 중건성, 복합","중건성, 복합",스킨/토너,"3,230"
45,"빌리프 프라블럼 솔루션 그린 토너 200ml(지성, 민감성) ",엘지생활건강,4.8," 지성, 민감성","지성, 민감성",스킨/토너,"1,129"
46,산타마리아노벨라 아쿠아 디 로즈 장미수 250ml ,산타마리아노벨라,4.8, ,모든피부용,스킨/토너,"2,136"
47,"키엘 칼렌듈라 허벌 엑스트렉트 토너 500ml(중건성, 중성, 중지성) ",키엘,4.8, 지성,지성,스킨/토너,"1,186"
48,나츄리에 하또무기 스킨 컨디셔너 500ml ,엘솔프로덕트,4.7, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"2,683"
49,마몽드 로즈 워터 토너 250ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,"5,146"
50,"키엘 칼렌듈라 허벌 엑스트렉트 토너 250ml(중성, 중건성, 중지성) ",키엘,4.8, 지복합,지복합,스킨/토너,"4,142"
51,김정문알로에 큐어 하이드라 수딩 토너 130ml ,나우코스,4.7, 촉촉함(수분공급),"피부탄력, 피부진정, 유수분밸런스조절",스킨/토너,463
52,토니모리 원더 속쌀 매끈 토너 500ml ,토니모리,4.7, ,모든피부용,스킨/토너,"1,609"
53,오리진스 메가버섯 퍼스트 에센스 200ml (신형) ,오리진스,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,351
54,피토메르 로제 비자쥐 토너 1000ml ,피토메르,4.8, ,모든피부용,스킨/토너,"1,160"
55,코메이토 바르는 쌀겨 토너 200ml ,코스맥스,4.6," 촉촉함(수분공급), 저자극",각질케어,스킨/토너,102
56,달팡 인트랄 토너 500ml ,달팡,4.7, 민감성,민감성,스킨/토너,861
57,비오템 아쿠아수르스 에센스 스킨 400ml(중복합) ,비오템,4.8, 복합,복합,스킨/토너,"4,108"
58,센텔리안24 마데카 토닝 에센스 트리트먼트 300ml ,동국제약,4.8, 촉촉함(수분공급),유수분밸런스조절,스킨/토너,863
59,이니스프리 그린티 밸런싱 스킨 EX  200ml(중복합) ,이니스프리,4.8, 복합,복합,스킨/토너,"3,256"
60,아이오페 슈퍼 바이탈 소프너 150ml ,아모레퍼시픽,4.8, 피부결정돈,피부결정돈,스킨/토너,591
61,언파 바이바이 시카토너 500ml ,대덕랩코,4.6, 촉촉함(수분공급),"피부탄력, 피부진정, 유수분밸런스조절",스킨/토너,212
62,바이오더마 하이드라비오 토너 250ml ,바이오더마,4.8, ,모든피부용,스킨/토너,"1,275"
63,애터미 토너 150ml ,한국콜마,4.8, ,모든피부용,스킨/토너,"1,397"
64,한율 쌀 진액 스킨 150ml ,아모레퍼시픽,4.8, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"1,302"
65,싸이닉 더 심플 카밍 토너 145ml ,싸이닉,4.7, 촉촉함(수분공급),"피부탄력, 피부진정",스킨/토너,"7,650"
66,셀퓨전씨 안티 박 토너 1000ml ,셀퓨전씨,4.8, 모공케어,모공케어,스킨/토너,"1,691"
67,랑콤 토닉 꽁포르 토너 400ml(건성) ,랑콤,4.8, 건성,건성,스킨/토너,892
68,유리아쥬 제모스 토너 250ml ,유리아쥬,4.8, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"1,449"
69,아누아 어성초 77% 진정 토너 250ml ,메가코스,4.3," 촉촉함(수분공급), 트러블케어, 저자극","각질케어, 피부진정, 유수분밸런스조절",스킨/토너,974
70,마몽드 모이스처 스킨 소프너 320ml ,아모레퍼시픽,4.6, 건성,건성,스킨/토너,"2,322"
71,메디큐브 레드 토너 플러스 200ml ,나우코스,4.8, 트러블케어,트러블케어,스킨/토너,860
72,빌리프 위치 헤이즐 허벌 익스트랙트 토너 200ml ,엘지생활건강,4.8, 건성,건성,스킨/토너,"2,845"
73,클레어스 서플 프레퍼레이션 페이셜 토너 180ml ,클레어스,4.8, ,모든피부용,스킨/토너,"11,651"
74,치노시오야 허브 스킨 (내추럴 허브 로션) 250ml ,치노시오야,4.6, 모공케어,모공케어,스킨/토너,"1,920"
75,셀퓨전씨 피지오로지컬 컴플렉스 토너 1000ml ,셀퓨전씨,4.8, ,모든피부용,스킨/토너,"1,187"
76,벤튼 알로에 바하 스킨 토너 200ml ,에스겔화장품,4.8," 촉촉함(수분공급), 트러블케어","상쾌함, 모공케어, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"2,161"
77,스킨푸드 로열 허니 착한 토너 180ml ,스킨푸드,4.7," 촉촉함(수분공급), 트러블케어","상쾌함, 모공케어, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"1,034"
78,픽스앤톡스 자이언트 워터락 토너 1000ml ,코스맥스,4.7, ,모든피부용,스킨/토너,569
79,이자녹스 녹스랩 모이스처 스킨 200ml ,엘지생활건강,4.7, 건성,건성,스킨/토너,"1,928"
80,더바디샵 티트리 스킨 클리어링 매티파잉 토너 250ml ,더바디샵,4.7, ,모든피부용,스킨/토너,652
81,숨37도 타임 에너지 스킨 리셋팅 리파이닝 토너 160ml ,엘지생활건강,4.7, ,모든피부용,스킨/토너,"1,300"
82,에센허브 티트리 90 토너 패드 100매 ,쵸이스코스메틱,4.5, 촉촉함(수분공급),"각질케어, 피부진정",스킨/토너,736
83,리얼베리어 아쿠아 수딩 토너 200ml ,네오팜,4.7," 촉촉함(수분공급), 저자극",피부진정,스킨/토너,118
84,에센허브 티 트리 90 카밍 토너 320ml ,아미코스메틱,4.6, 민감성,민감성,스킨/토너,"9,249"
85,"비오템 아쿠아수르스 에센스 스킨 400ml(신형, 건성) ",비오템,4.5, 촉촉함(수분공급),피부결정돈,스킨/토너,55
86,한율 산들박하 트러블 토너 300ml ,아모레퍼시픽,4.7, 트러블케어,트러블케어,스킨/토너,903
87,아벤느 젠틀토닝로션 핑크토너 100ml ,아벤느,4.6," 촉촉함(수분공급), 트러블케어","피부진정, 피부결정돈",스킨/토너,970
88,오휘 에이지 리커버리 스킨 소프너 150ml ,엘지생활건강,4.7," 촉촉함(수분공급), 트러블케어","피부진정, 피부결정돈",스킨/토너,201
89,네이크업페이스 스트레스 제로 토너 500ml ,나투젠,4.6, 트러블케어,모공케어,스킨/토너,"4,895"
90,헤이네이처 어성초 스킨 120ml ,결고은사람들,4.7," 촉촉함(수분공급), 트러블케어","피부탄력, 피부진정, 피부결정돈",스킨/토너,"1,197"
91,세이어스 무알콜 로즈페탈 위치하젤 토너 355ml ,헨리세이어&컴퍼니,4.8, ,모든피부용,스킨/토너,"1,821"
92,라뜨라쥬 빙하수 토너 200ml ,한솔장업,4.5," 촉촉함(수분공급), 트러블케어","피지케어, 피부진정",스킨/토너,"3,682"
93,바이오더마 센시비오 토너 250ml ,바이오더마,4.8, ,모든피부용,스킨/토너,713
94,애즈이즈투비 히아루로닉 에센셜 토너 500ml ,아이썸,5," 촉촉함(수분공급), 저자극","피부탄력, 피부진정",스킨/토너,2
95,"시슬리 로씨옹 또니끄 오 쁠뢰르 250ml(건성, 민감성) ",시슬리,4.8," 건성, 민감성","건성, 민감성",스킨/토너,803
96,이니스프리 청보리 필링 토너 250ml ,코스비전,4.6, 촉촉함(수분공급),피부진정,스킨/토너,427
97,그레이멜린 알래스카85 내추럴 토너 500ml ,그레이멜린,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"4,509"
98,제이앤코슈 닥터펩티 센텔라 토너 180ml ,비앤비코리아,4.8, ,"낮, 밤",스킨/토너,359
99,청미정 유기농 알로에 발효 토너 140ml ,청미정,4.5, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,729
100,프리메라 알파인 베리 워터리 토너 225ml ,아모레퍼시픽,4.7, 촉촉함(수분공급),피부결정돈,스킨/토너,312
101,마몽드 캐모마일 퓨어 토너 500ml ,마몽드,4.7, 피부진정,피부진정,스킨/토너,852
102,헤라 에이지 어웨이 바이탈라이징 워터 150ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,331
103,닥터지 에이 클리어 아로마 스팟 토너 170ml ,고운세상,4.7, 트러블케어,트러블케어,스킨/토너,"1,042"
104,오휘 미라클 모이스처 스킨 소프너 촉촉 150ml ,엘지생활건강,4.8, 트러블케어,트러블케어,스킨/토너,255
105,빌리프 베르가못 허벌 익스트랙트 토너 200ml(중복합) ,엘지생활건강,4.8, 복합,복합,스킨/토너,"4,170"
106,아이오페 더마 트러블 토너 200ml ,아모레퍼시픽,4.8, 트러블케어,"피부진정, 피부결정돈",스킨/토너,753
107,벤튼 깊은 녹차 토너 150ml ,벤튼,4.6," 촉촉함(수분공급), 트러블케어, 저자극","상쾌함, 모공케어, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,132
108,바이빠세 로즈 워터 무알콜 토너 500ml ,바이빠세,4.7," 촉촉함(수분공급), 트러블케어, 저자극","상쾌함, 모공케어, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"1,051"
109,이니스프리 올리브 리얼 스킨 200ml ,이니스프리,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,592
110,헤라 아쿠아볼릭 에센셜 워터 150ml ,아모레퍼시픽,4.7, 피부결정돈,피부결정돈,스킨/토너,415
111,더페이스샵 닥터벨머 클래리파잉 토너 200ml ,더페이스샵,4.8, 트러블케어,모공케어,스킨/토너,880
112,설화수 자정수 125ml ,아모레퍼시픽,4.8, 트러블케어,모공케어,스킨/토너,454
113,이니스프리 화산송이 모공 토너 2X 200ml ,코스비전,4.7, 피지케어,피지케어,스킨/토너,241
114,아쿠아알레로제 로버츠 장미수 약산성 토너 300ml ,아쿠아알레로제,4.5," 촉촉함(수분공급), 저자극","흡수력, 모공케어",스킨/토너,279
115,산타마리아노벨라 아쿠아 디 로즈 장미수 500ml ,산타마리아노벨라,4.8, 촉촉함(수분공급),피부진정,스킨/토너,"1,732"
116,프리메라 와일드 피치 포어 워터 180ml ,아모레퍼시픽,4.8, 모공케어,모공케어,스킨/토너,732
117,"크리니크 클래리파잉 모이스처 로션 3 400ml(지성, 지복합) ",크리니크,4.8," 지복합, 지성","지복합, 지성",스킨/토너,"2,248"
118,비쉬 아쿠알리아 떼르말 고보습 부스팅 토너 200ml ,비쉬,4.8, ,모든피부용,스킨/토너,648
119,더페이스샵 닥터벨머 데일리 리페어 토너 200ml ,더페이스샵,4.8, 민감성,민감성,스킨/토너,685
120,로벡틴 시카 케어 퓨리파잉 토너 260ml ,로벡틴,4.7," 촉촉함(수분공급), 트러블케어, 저자극","각질케어, 피지케어, 모공케어, 피부진정, 피부결정돈",스킨/토너,34
121,네시픽 리얼 플로럴 카렌둘라 꽃잎토너  180ml ,네시픽,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"6,369"
122,아르드포 프레쉬 스킨 380ml ,엘지생활건강,4.8, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,333
123,제로이드 핌프로브 토너 200ml ,네오팜,4.8, 트러블케어,트러블케어,스킨/토너,"1,093"
124,산타마리아노벨라 토니코 페르 라 펠레 250ml ,산타마리아노벨라,4.8, ,모든피부용,스킨/토너,224
125,케어존 닥터솔루션 아큐어 리퀴드 각질 클리어링 솔루션 150ml ,엘지생활건강,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"1,562"
126,키엘 울트라 페이셜 오일 프리 토너 250ml ,키엘,4.8, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"2,799"
127,네이처리퍼블릭 스네일 솔루션 90 스킨 부스터 120ml ,네이처리퍼블릭,4.8, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,472
128,빌리프 유칼립투스 허벌 익스트랙트 토너 200ml(지성) ,엘지생활건강,4.9, 트러블케어,트러블케어,스킨/토너,"1,527"
129,비플레인 캐모마일 약산성 토너 190ml ,한국콜마,4.4, 촉촉함(수분공급),피부진정,스킨/토너,73
130,설화수 자음생수 125ml ,아모레퍼시픽,4.7, 촉촉함(수분공급),피부탄력,스킨/토너,154
131,차앤박 에이클린 엑티브 프레쉬너 토너 150ml ,코스메카,4.8, 트러블케어,"상쾌함, 피지케어, 모공케어",스킨/토너,217
132,이니스프리 제주 한란 스킨 200ml ,이니스프리,4.8, ,모든피부용,스킨/토너,908
133,닥터랩 하이드라 15 수딩 토너 1000ml ,이트리얼,4.7, ,모든피부용,스킨/토너,"1,621"
134,시드물 닥터트럽 셀라인 미네랄 수딩 토너 300ml ,시드물,4.7, 촉촉함(수분공급),유수분밸런스조절,스킨/토너,"2,194"
135,닥터지 필라그린 배리어 토너 160ml ,한국콜마,4.6, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,262
136,프레쥬 자연약쑥 진정토너 500ml ,프레쥬,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"6,592"
137,닥터자르트 세라마이딘 리퀴드 토너 150ml（민감성） ,닥터자르트,4.7, 민감성,민감성,스킨/토너,"1,077"
138,디에이지 레드- 애디션 스킨 토너 130ml ,참존,4.8, 모공케어,모공케어,스킨/토너,"2,577"
139,코스알엑스 하이드리움 워터리 토너 280ml ,한국기능성화장품연구센터,4.5, 촉촉함(수분공급),"흡수력, 피부진정, 유수분밸런스조절",스킨/토너,183
140,이니스프리 비자 트러블 스킨 200ml ,이니스프리,4.8, 트러블케어,트러블케어,스킨/토너,"2,409"
141,토니모리 더 촉촉 그린티 수분 스킨 180ml ,토니모리,4.7, 트러블케어,트러블케어,스킨/토너,708
142,세인트루이스1801 허 워터 레인포스 스킨 250ml ,코스나인,4.9, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,67
143,아토팜 리얼베리어 익스트림 에센스 토너 190ml ,네오팜,4.8, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"1,198"
144,빌리프 시카 수딩 토너 200ml (건성) ,엘지생활건강,5, 촉촉함(수분공급),피부진정,스킨/토너,1
145,그뤼너씨 티트리 카밍 5.5 토너 패드 170ml ,이에스코스메틱,4.6," 촉촉함(수분공급), 트러블케어, 저자극","각질케어, 흡수력, 피지케어, 모공케어, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,40
146,라비템 라이스 브라이트닝 패드 150ml ,엔베코코스메틱,4.5," 촉촉함(수분공급), 저자극","각질케어, 흡수력, 피부결정돈",스킨/토너,955
147,이니스프리 비자 시카 스킨 200ml ,이니스프리,4.7, 촉촉함(수분공급),"피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,531
148,손앤박 뷰티 워터 340ml ,에스앤피코스메틱,4.8, ,모든피부용,스킨/토너,556
149,크리니크 클래리파잉 모이스처 로션 1 400ml(건성) ,크리니크,4.8," 건성, 민감성","건성, 민감성",스킨/토너,"1,484"
150,아이소이 내 피부 속에 마르지 않는 옹달샘 촉촉 스킨 130ml ,다비드화장품,4.7, ,모든피부용,스킨/토너,751
151,라운드어라운드 그린티 약산성 에센스 워터 150ml ,신세계인터코스코리아,4.7, 피부진정,피부진정,스킨/토너,751
152,아로마티카 로즈마리 리프레쉬 토너 375ml ,아로마티카,4.7, ,모든피부용,스킨/토너,841
153,세이어스 라벤더 위치하젤 토너 355ml ,헨리세이어&컴퍼니,4.8, 트러블케어,트러블케어,스킨/토너,"1,757"
154,더후 공진향 인양 밸런서 150ml ,엘지생활건강,4.8, ,모든피부용,스킨/토너,736
155,네이처리퍼블릭 슈퍼 아쿠아 맥스 컴비네이션 수분 토너 150ml(지복합) ,네이처리퍼블릭,4.8," 복합, 지복합","복합, 지복합",스킨/토너,729
156,아이오페 모이스트젠 소프너 스킨 150ml ,아이오페,4.7, 촉촉함(수분공급),"피부탄력, 피부진정",스킨/토너,495
157,야다 선인장 토너패드 60매 ,야다,4.5, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,488
158,킵쿨 수드 대나무 토너 350ml ,킵쿨,4.7, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,989
159,라포티셀 A.C. 데일리 카밍 필링 부스터 200ml ,코스온,4.6, ,모든피부용,스킨/토너,681
160,킵쿨 수드 대나무 토너 160ml ,그린코스,4.9," 촉촉함(수분공급), 저자극",피부진정,스킨/토너,81
161,동국제약 마데카21 테카솔 토너 500ml ,동국제약,4.7, 촉촉함(수분공급),"피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,268
162,한율 달빛유자 오일 토너 200ml ,아모레퍼시픽,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,93
163,이즈앤트리 히아루론산 토너 플러스 200ml ,이즈앤트리,4.5," 촉촉함(수분공급), 저자극","흡수력, 피부결정돈",스킨/토너,73
164,닥터자르트 컨트롤에이 티트리먼트 토너 200ml ,한국콜마,4.9, 촉촉함(수분공급),"피지케어, 모공케어, 피부진정, 유수분밸런스조절",스킨/토너,20
165,톤28 pH 균형제 250ml ,엘랑,4.8," 촉촉함(수분공급), 저자극","각질케어, 상쾌함, 흡수력, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,398
166,유세린 더머토 클린 클래리파잉 토너 200ml ,유세린,4.8, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,307
167,마녀공장 하이드레이팅 이온 토너 250ml ,클라젠,4.6, 촉촉함(수분공급),"흡수력, 피부탄력, 피부진정",스킨/토너,"1,298"
168,토리든 다이브인 저분자 히알루론산 스킨 부스터 200ml ,세레코,4.8," 촉촉함(수분공급), 저자극","각질케어, 피부탄력, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,41
169,이니스프리 진저 허니 앰플 스킨 200ml ,코스비전,4.7, 촉촉함(수분공급),피부진정,스킨/토너,502
170,마몽드 플로랄 하이드로 앰플 토너 150ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,618
171,설화수 진설수 125ml ,아모레퍼시픽,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,140
172,마몽드 로즈 워터 토너 150ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,"1,049"
173,폴메디슨 판텔라 소너 250ml ,폴메디슨,4.5, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"2,031"
174,더페이스샵 치아씨드 물어린 토너 145ml ,더페이스샵,4.8, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,941
175,애터미 스킨 로션 135ml ,한국콜마,4.8, 트러블케어,트러블케어,스킨/토너,687
176,브링그린 사철쑥 카밍 밸런스 토너 270ml ,코스맥스,4.8," 피부진정, 유수분밸런스조절","피부진정, 유수분밸런스조절",스킨/토너,39
177,마몽드 모이스처 세라마이드 스킨 소프너 200ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,879
178,노멀노모어 블루 테라피 안티 레드니스 토너 300ml ,코스맥스,4.9," 촉촉함(수분공급), 저자극","각질케어, 피부진정",스킨/토너,22
179,미샤 미사 금설 수액 145ml ,미샤,4.8," 건성, 복합","건성, 복합",스킨/토너,600
180,"뉴스킨 PH 밸런스 매티파잉 토너 150ml(신형, 지복합) ",뉴스킨,4.7, 지복합,페이스용,스킨/토너,99
181,식물나라 페퍼민트 리프레시 토너 500ml ,식물나라,4.7," 촉촉함(수분공급), 저자극","피부탄력, 모공케어, 피부결정돈",스킨/토너,22
182,AHC 허브 솔루션 위치하젤 토너 500ml ,카버코리아,4.6, 모공케어,모공케어,스킨/토너,"1,093"
183,이니스프리 화산송이 모공 토너 250ml ,이니스프리,4.8, 모공케어,모공케어,스킨/토너,"2,301"
184,아이오페 플랜트 스템셀 소프너 스킨 퍼펙션 150ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,689
185,토니모리 부팡 원더 세라마이드 토너 500ml ,메가코스,5," 촉촉함(수분공급), 저자극","촉촉함(수분공급), 저자극",스킨/토너,1
186,라네즈 퍼펙트 리뉴 스킨 120ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,424
187,이지듀EX 리페어 컨트롤 올 카밍 토너 210ml ,대웅제약,4.8, ,모든피부용,스킨/토너,645
188,잇츠스킨 히아루론산 보습 토너 150ml ,잇츠스킨,4.7, ,모든피부용,스킨/토너,435
189,네이처리퍼블릭 어린 녹차 순한 토너 155ml ,네이처리퍼블릭,4.4, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,16
190,이지듀 디더블유 이지에프 토너 210ml ,코스맥스,4.6, 촉촉함(수분공급),피부결정돈,스킨/토너,60
191,바비브라운 하이드레이팅 페이스 토닉 200ml ,바비브라운,4.8, 촉촉함(수분공급),피부결정돈,스킨/토너,345
192,"크리니크 클래리파잉 로션 3 400ml(지성, 지복합) ",크리니크,4.8, 트러블케어,트러블케어,스킨/토너,"1,512"
193,세이어스 레몬 위치하젤 아스트린젠트 355ml ,헨리세이어&컴퍼니,4.8, 모공케어,모공케어,스킨/토너,976
194,큐인스 언센티드 위치하젤 토너 510ml ,에스엘라이프,4.5," 촉촉함(수분공급), 저자극","피부진정, 유수분밸런스조절",스킨/토너,57
195,편강율 에센스 토너 200ml ,한방미인화장품,4.5," 촉촉함(수분공급), 저자극","각질케어, 상쾌함, 흡수력, 피부탄력, 피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,365
196,크리니크 클래리파잉 모이스처 로션 2 400ml(중복합) ,크리니크,4.8, 지복합,지복합,스킨/토너,"6,749"
197,아로마티카 바이탈라이징 로즈마리 디콕션 토너 300ml ,아로마티카,4.5," 촉촉함(수분공급), 저자극","상쾌함, 흡수력, 피부진정, 피부결정돈",스킨/토너,13
198,카말돌리 플로럼 아쿠아 토닉 에센스 200ml ,카말돌리수도원,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,111
199,코스알엑스 아하/바하 클래리파잉 트리트먼트 토너 150ml ,코스알엑스,4.5, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,578
