rank,product,brand,rating,feature,rec_type,category,review
7634,클라란스 멀티 액티브 스킨 리뉴얼 세럼 30ml ,클라란스,4.5, ,모든피부용,에센스,110
7635,메트리콜 파워 릴리즈 액티브 솔루션 150ml ,메트리콜,4.3, 화이트닝,화이트닝,에센스,13
7636,라네즈 미니 포어 싱글 드롭 스킨 릴리프 15ml ,아모레퍼시픽,4.4, 촉촉함(수분공급),촉촉함(수분공급),에센스,15
7637,딸고 리바이빙 마린 미스트 퓨어 바이탈리티 150ml ,딸고,4.7, 촉촉함(수분공급),촉촉함(수분공급),에센스,85
7638,스포메틱스 트리플 샤이닝 이데베논 앰플 30ml ,한국화장품,4.4, 촉촉함(수분공급),"화이트닝, 주름케어, 피부탄력",에센스,50
7639,에이씨스토리 컨트롤 이펙트 스팟 30ml ,헤이젠,4.8, 촉촉함(수분공급),"화이트닝, 주름케어, 피부탄력",에센스,101
7640,구달 청귤 꿀 보습 앰플 30ml ,코스맥스,4.4, 촉촉함(수분공급),영양공급,에센스,70
7641,IWLT 퓨리파잉 릴리프 수딩 겔 에센스 30ml ,IWLT,4.7, 촉촉함(수분공급),"화이트닝, 주름케어, 피부탄력, 영양공급",에센스,3
7642,숨37도 플로리스 리제너레이팅 에센스 50ml ,엘지생활건강,4.5, ,모든피부용,에센스,23
7643,씨유스킨 GG 세럼 30ml ,씨유스킨,4.8, ,모든피부용,에센스,21
7644,바랑소리 하얌찬 앰플 50ml ,초콜릿코스메틱,4.8, 촉촉함(수분공급),화이트닝,에센스,58
7645,수려한 주름 원액 35ml ,엘지생활건강,4.8, ,모든피부용,에센스,72
7646,더스킨하우스 링클 힐링 시스템 에센스 50ml ,녹십초,3.8, ,모든피부용,에센스,28
7647,숨37도 시크릿 컨센트레이티드 세럼 50ml ,엘지생활건강,4.4, ,모든피부용,에센스,35
7648,리엔케이 셀 투 셀 에센스 스페셜 에디션 105ml ,리엔케이,5, ,"낮, 밤",에센스,1
7649,앰플엔 히알루론샷 앰플 30ml ,코리아나,4.6, 화이트닝,화이트닝,에센스,86
7650,제이앤코슈 펩타이드 볼륨에센스 프리미엄 40ml ,비앤비코리아,5, 촉촉함(수분공급),"주름케어, 피부탄력",에센스,3
7651,기노 롱그 비 비자쥐 앤 꾸 세럼 3ml x 8개 ,기노,5, 촉촉함(수분공급),촉촉함(수분공급),에센스,3
7652,메디큐브 레드 세럼 30ml ,나우코스,5, 트러블케어,"화이트닝, 모공케어",에센스,4
7653,SK-II 셀루미네이션 오라 에센스 50ml ,SK-II,4.9, 트러블케어,"화이트닝, 모공케어",에센스,51
7654,클라란스 수퍼 레스토러티브 트리트먼트 에센스 200ml ,클라란스,4, ,모든피부용,에센스,3
7655,스킨알엑스 스마트 하이드로 퓨어 세럼 150ml ,스킨알엑스,4," 촉촉함(수분공급), 흡수력",영양공급,에센스,3
7656,라포티셀 킵 유어 유스 울트라 리프트 데일리 에센스 40ml ,코스온,4.9, 촉촉함(수분공급),"안티에이징, 유수분밸런스조절, 피부탄력, 영양공급",에센스,47
7657,엔프라니 닥터힐다 멜라닌 딥 컨트롤러 ,엔프라니,4.8, 화이트닝,화이트닝,에센스,8
7658,더샘 아이슬란드 수분 더블 세럼 60ml ,더샘,4.8, 화이트닝,화이트닝,에센스,25
7659,엔프라니 닥터힐다 워터플렉션 파워 임팩트 세럼 50ml ,엔프라니,4.8, ,모든피부용,에센스,27
7660,폴라초이스 캄 세럼 30ml ,폴라초이스,4.5," 건성, 중건성","건성, 중건성",에센스,30
7661,수려한 수 천삼 선유 진액 40ml ,엘지생활건강,4.4, ,모든피부용,에센스,16
7662,코스포유 바이탈 앰플 수딩 30ml ,더마밀,5," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,30
7663,백옥생 퓨어스노이 MF 에센스 40ml ,정산생명공학,4.8," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,66
7664,참존 디에이지 레드 와인 에스 에센스 50ml ,참존,4.7," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,21
7665,오리진스 닥터 앤드류 와일 플랜티도트 메가 머쉬룸 페이스 세럼 50ml ,오리진스,4.8," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,122
7666,1.0 티트리 부스터 25ml ,2019.07.,4, 트러블케어,트러블케어,에센스,4
7667,리더스 인솔루션 멀티 비타 세럼 90ml ,리더스,4.9, 화이트닝,화이트닝,에센스,29
7668,크리니크 프레쉬 프레스드™ 데일리 부스터 34ml ,크리니크,4.9, 촉촉함(수분공급),"화이트닝, 영양공급",에센스,24
7669,프라우드메리 히알루론 콤플렉스 60% 수분 앰플 50ml ,메디안스,4.8, ,모든피부용,에센스,19
7670,"피토메르 올리고포스 세럼 쀼리피앙 50ml(지성, 복합) ",피토메르,4.9, 트러블케어,트러블케어,에센스,30
