rank,product,brand_date,rating,price,category,review
58,지오다노 여 브러쉬드 슬림핏 슬랙스 419908 ,지오다노,4.5,"27,080",바지,160
59,나이스크랍 루즈핏 폭스야상패딩 N194YWDA04 ,나이스크랍,4.7,"230,660",점퍼,3
60,비지트인뉴욕 와펜 롱 덕다운패딩 VUADO92 ,디케이앤코,4.5,"53,510",점퍼,174
61,융 기 모 바지 하이웨스트 겨울 여성 여자 바지 밴딩 스판 기모 스키니 바지 팬츠 ,2019.11.,4.6,"17,900",바지,57
62,쉬즈미스 헨드메이드 벨트라인 코트 SWHCTJ42010 CH ,인동에프엔,4.2,"202,280",코트,32
63,하이모이 하이웨스트 겨울 기모버전 롱 부츠컷 슬랙스 ,2019.11.,4.5,"34,000",바지,292
64,부드러운 캐시미어 라운드 니트티 ,2019.11.,4.3,"16,500",니트/스웨터,206
65,비지트인뉴욕 벨티드 롱 코트 WOOL70 ,비지트인뉴욕,4.7,"72,450",코트,22
66,스튜디오톰보이 테일러드 카라 슬림핏 코트 9109411996 ,신세계톰보이,4.7,"143,580",코트,37
67,뱅뱅 19FW 융기모 본딩 데님 팬츠 3종 여성 겨울본딩팬츠 보아퍼데님 ,뱅뱅,4.7,"86,120",청바지,7
68,지오다노 브이넥 라이트 경량다운 베스트 378902 ,지오다노,4.6,"21,060",조끼,252
69,라운드 V넥 오리털 경량패딩조끼 ,2019.10.,4.3,"15,800",조끼,827
70,플라스틱아일랜드 벨벳 플리츠 스커트 PK4WS102 ,아이올리,4.8,"29,990",스커트,73
71,겨울 피치 기모 일자바지 ,2019.10.,4.3,"22,900",바지,738
72,겨울 밴딩 와이드 니트 팬츠 ,2019.09.,4.6,"17,000",바지,700
73,고요 캐시미어100 홀가먼트 컬러블록 니트풀오버 ,고요,4.7,"129,410",니트/스웨터,494
74,루즈핏 기모 롱맨투맨 ,2019.11.,4.3,"14,900",티셔츠,135
75,겨울 피치 기모 보이핏 배기바지 ,2019.10.,4.4,"23,900",바지,179
76,반에이크 토끼털카라 숏 패딩점퍼 VB01PDML01Z ,반에이크,3.2,"59,800",점퍼,5
77,신축성 융기모 데님 팬츠 74995 ,2019.10.,4.3,"23,310",청바지,"2,628"
78,머스트비 더블 핸드메이드 롱코트 HMNWCCH592P ,패션플랫폼,4.3,"52,600",코트,93
79,리오벨 사가폭스 풀스킨 빅후드 FAUX 무스탕 ,리오벨,4.8,"146,520",코트,192
80,에고이스트 폭스 퍼 페미닌 무스탕 EK4TM001 ,아이올리,4.9,"219,520",코트,39
81,온앤온 허리벨티드 핸드메이드 코트 NW9XH848 ,온앤온,4,"238,440",코트,2
82,겨울 여자 페이크퍼 밍크 퍼카라 허리스트링 롱야상 트렌치코트 전체털안감 ,2019.11.,4.4,"86,770",코트,42
83,남녀공용 양털 패딩조끼 MO-100 ,2019.11.,4.5,"8,830",조끼,373
84,지컷 롱벨티드 패딩 7259417004 ,신세계인터네셔날,4.7,"265,210",점퍼,51
85,enc NC02 구스다운 점퍼 ENJD94V71O 3637038 ,enc,5,"312,430",점퍼,6
86,맥스튜어트 울트라웜 기모 데님 3종 여성 ,맥스튜어트,4.8,"64,000",청바지,164
87,쉬즈미스 폭스포인트 롱구스다운 SSDJPJ42020 ,인동에프엔,4.6,"297,120",점퍼,14
88,써스데이아일랜드 루즈핏 코쿤 폭스퍼 숏 다운점퍼 T198MDJ239W ,지엔코,5,"280,960",점퍼,18
89,써스데이아일랜드 플라워 패턴 슬림 다운점퍼 T188MDJ236W ,지엔코,4.8,"117,760",점퍼,10
90,드샹제 DeChanger 기모 본딩 팬츠 3종 ,2019.11.,4.7,"36,150",바지,222
91,인스타일 겨울 라이크라 본딩 데님 3종 ,2019.11.,5,"47,200",바지,20
92,리틀마켓 촉감중독 밴딩 니트 와이드팬츠 PI07A9 ,리틀마켓,4.5,"14,400",바지,399
93,클라이드앤 코어파카 로체 롱패딩 FIDDU851U ,연승어패럴,4.7,"35,000",점퍼,443
94,지오다노 크루넥 라이트다운 자켓 378905 ,지오다노,4.6,"27,660",점퍼,605
95,AND 헤어리 리얼 라쿤 100 니트 ,비앤에스컴퍼니,4.8,"105,910",니트/스웨터,376
96,고트혼 울 90 더블 버튼 클래식 핸드메이드 코트 카키 ,2019.10.,4.5,"111,930",코트,74
97,칼라거펠드 19FW 프리메라 사가퍼 헝가리구스다운 ,칼라거펠드,4.7,"377,360",점퍼,281
98,두툼기모 슬림배기골덴바지 나무옷장 ,2019.11.,4.3,"23,400",바지,45
99,LBL 퓨어 캐시미어100 하이넥 홀가먼트 니트 ,LBL,4.8,"82,000",니트/스웨터,"1,804"
100,싸이콘서트티셔츠 2019 올나잇 스탠드 티셔츠 반팔 긴팔 맨투맨 후드 ,2019.11.,4.8,"8,900",티셔츠,123
101,지오다노 여 다운 숏 푸파 379922 ,지오다노,4.7,"112,060",점퍼,27
102,쉬즈미스 19FW 울 캐시미어 더블 브레스트 코트 SWHCTJ41410 LG ,인동에프엔,4.8,"287,814",코트,11
103,오조이 덴 밍크 융기모 스판짱 완전 따숩 밴딩 일자배기핏 세상편한 바지4컬러 ,오조이,4.4,"14,900",바지,32
104,기모 루즈핏 뚱땡이끈 후드티 맨투맨 ,2019.10.,4.5,"27,800",티셔츠,536
105,몽클레어 F W 클리온 구 클리오 여성패딩 CLION ,몽클레어,4.7,"1,826,000",점퍼,50
106,아디다스 우먼스 레깅스 44종 모음 ,2019.10.,4.5,"21,900",레깅스,"3,448"
107,19FW 겨울 기모 9부 뒷밴딩 슬랙스 ,2019.10.,4.4,"24,900",바지,261
108,허리 안 밴딩 융 기모 슬림 일자 라인 부츠컷 팬츠 ,2019.10.,4.3,"22,400",바지,166
109,제이뷰 밍크 롱 무스탕 ,2019.08.,4.6,"94,000",코트,"1,794"
110,기모 울 밴딩 부츠컷슬랙스 4col 겨울 ,2019.10.,4.5,"27,830",바지,"1,976"
111,12col 가을 겨울 여자 긴팔 골지 슬림 니트 폴라 터틀넥 이너 베이직 ,2019.10.,4.3,"8,900",니트/스웨터,75
112,름 인디 버클 퍼 무스탕 자켓 ,2019.11.,4,"62,000",재킷,18
113,핸드메이드 울 모직 와이드 밴딩 팬츠 ,2019.11.,4.3,"19,800",바지,545
114,나인 루즈 실루엣 기모 티 T-5120 ,나인,5,"21,940",티셔츠,1
115,클라이드앤 여성 폭스퍼 롱패딩 FJDDU953F ,연승어패럴,4.8,"106,060",점퍼,14
116,여우배기24탄 타이블 세미배기팬츠 밍크기모 ,2019.11.,4.4,"26,800",청바지,161
117,나이스크랍 폭스퍼 슬림 구스패딩 N194YWDA02 ,롯데지에프알,4.3,"243,720",점퍼,3
118,쉬즈미스 핸드메이드 울 벨티드 코트 SWHCTJ41110 ,쉬즈미스,5,"161,620",코트,4
119,스페셜모닝 말레 니트 보들보들 루즈핏 언발 니트 비스코스 폴라 가오리핏 터틀넥 롱니트 ,2019.10.,4.6,"24,900",니트/스웨터,87
120,마리나야팅 여자 사가폭스 구스다운 롱 패딩 ,마리나야팅,4.6,"89,000",점퍼,18
121,테이트 여성 19FW 라운드 롱 구스 패딩조끼II KA9W9-WVT010 ,인디에프,4.5,"26,090",조끼,301
122,겨울 밴딩 기모 와이드 슬랙스 3col 와이드팬츠 약기모 ,2019.10.,4.5,"28,000",바지,"4,156"
123,인어공주 플리츠 주름 니트 롱 스커트 가을 머메이드 결혼식 하객 ,2019.11.,4.4,"11,980",스커트,319
